discr,reduction,operator,freq,cds,corpus,base,context_type,dimensionality,neg,similarity,SimLex999,men
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,1000,2,cos,0.16,0.377
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,1000,5,correlation,0.068,0.11
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,1000,5,cos,0.006,0.14
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,1000,7,correlation,-0.023,0.035
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,1000,7,cos,-0.026,0.048
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,2000,0.2,correlation,0.33,0.685
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,2000,0.2,cos,0.257,0.605
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,2000,0.5,correlation,0.33,0.685
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,2000,0.5,cos,0.327,0.673
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,2000,0.7,correlation,0.344,0.717
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,2000,0.7,cos,0.352,0.719
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,2000,1,correlation,0.309,0.712
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,2000,1,cos,0.308,0.711
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,2000,1.4,correlation,0.271,0.696
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,2000,1.4,cos,0.252,0.695
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,2000,2,correlation,0.257,0.64
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,2000,2,cos,0.215,0.645
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,2000,5,correlation,0.127,0.264
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,2000,5,cos,0.074,0.356
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,2000,7,correlation,0.06,0.213
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,2000,7,cos,0.009,0.271
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,3000,0.2,correlation,0.337,0.695
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,3000,0.2,cos,0.259,0.608
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,3000,0.5,correlation,0.337,0.695
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,3000,0.5,cos,0.324,0.68
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,3000,0.7,correlation,0.348,0.724
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,3000,0.7,cos,0.355,0.726
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,3000,1,correlation,0.322,0.728
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,3000,1,cos,0.321,0.726
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,3000,1.4,correlation,0.286,0.721
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,3000,1.4,cos,0.276,0.716
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,3000,2,correlation,0.281,0.699
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,3000,2,cos,0.246,0.697
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,3000,5,correlation,0.139,0.416
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,3000,5,cos,0.091,0.481
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,3000,7,correlation,0.1,0.288
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,3000,7,cos,0.073,0.377
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,5000,0.2,correlation,0.344,0.703
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,5000,0.2,cos,0.25,0.606
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,5000,0.5,correlation,0.344,0.703
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,5000,0.5,cos,0.317,0.68
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,5000,0.7,correlation,0.354,0.729
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,5000,0.7,cos,0.361,0.732
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,5000,1,correlation,0.337,0.735
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,5000,1,cos,0.336,0.733
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,5000,1.4,correlation,0.312,0.73
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,5000,1.4,cos,0.301,0.724
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,5000,2,correlation,0.294,0.72
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,5000,2,cos,0.266,0.711
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,5000,5,correlation,0.2,0.567
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,5000,5,cos,0.133,0.582
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,5000,7,correlation,0.164,0.446
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,5000,7,cos,0.123,0.489
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,10000,0.2,correlation,0.352,0.715
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,10000,0.2,cos,0.228,0.566
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,10000,0.5,correlation,0.352,0.715
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,10000,0.5,cos,0.303,0.674
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,10000,0.7,correlation,0.366,0.738
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,10000,0.7,cos,0.37,0.739
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,10000,1,correlation,0.356,0.746
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,10000,1,cos,0.354,0.742
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,10000,1.4,correlation,0.338,0.742
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,10000,1.4,cos,0.33,0.735
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,10000,2,correlation,0.321,0.734
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,10000,2,cos,0.293,0.722
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,10000,5,correlation,0.246,0.667
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,10000,5,cos,0.184,0.647
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,10000,7,correlation,0.204,0.576
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,10000,7,cos,0.151,0.57
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,20000,0.2,correlation,0.35,0.726
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,20000,0.2,cos,0.188,0.491
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,20000,0.5,correlation,0.35,0.726
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,20000,0.5,cos,0.276,0.66
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,20000,0.7,correlation,0.374,0.749
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,20000,0.7,cos,0.377,0.748
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,20000,1,correlation,0.373,0.758
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,20000,1,cos,0.369,0.753
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,20000,1.4,correlation,0.362,0.756
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,20000,1.4,cos,0.353,0.748
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,20000,2,correlation,0.346,0.749
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,20000,2,cos,0.323,0.737
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,20000,5,correlation,0.277,0.705
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,20000,5,cos,0.216,0.681
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,20000,7,correlation,0.246,0.65
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,20000,7,cos,0.188,0.622
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,30000,0.2,correlation,0.342,0.725
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,30000,0.2,cos,0.157,0.447
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,30000,0.5,correlation,0.342,0.725
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,30000,0.5,cos,0.256,0.647
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,30000,0.7,correlation,0.375,0.75
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,30000,0.7,cos,0.378,0.748
scpmi,raw,head,1,0.75,ukwac_wackypedia,e,nvaa,30000,1,correlation,0.377,0.759
